tau,tauDot,q,qDot,u
-1,0,-100,0,0
-1,0,-99.9936,0,0
-1,0,-99.9873,0,0
-1,0,-99.9809,0,0
-1,0,-99.9745,0,0
-1,0,-99.9682,0,0
-1,0,-99.9618,0,0
-1,0,-99.9554,0,0
-1,0,-99.9491,0,0
-1,0,-99.9427,0,0
-1,0,-99.9363,0,0
-1,0,-99.93,0,0
-1,0,-99.9236,0,0
-1,0,-99.9172,0,0
-1,0,-99.9109,0,0
-1,0,-99.9045,0,0
-1,0,-99.8981,0,0
-1,0,-99.8918,0,0
-1,0,-99.8854,0,0
-1,0,-99.8791,0,0
-1,0,-99.8727,0,0
-1,0,-99.8663,0,0
-1,0,-99.86,0,0
-1,0,-99.8536,0,0
-1,0,-99.8473,0,0
-1,0,-99.8409,0,0
-1,0,-99.8345,0,0
-1,0,-99.8282,0,0
-1,0,-99.8218,0,0
-1,0,-99.8155,0,0
-1,0,-99.8091,0,0
-1,0,-99.8027,0,0
-1,0,-99.7964,0,0
-1,0,-99.79,0,0
-1,0,-99.7837,0,0
-1,0,-99.7773,0,0
-1,0,-99.771,0,0
-1,0,-99.7646,0,0
-1,0,-99.7583,0,0
-1,0,-99.7519,0,0
-1,0,-99.7455,0,0
-1,0,-99.7392,0,0
-1,0,-99.7328,0,0
-1,0,-99.7265,0,0
-1,0,-99.7201,0,0
-1,0,-99.7138,0,0
-1,0,-99.7074,0,0
-1,0,-99.7011,0,0
-1,0,-99.6947,0,0
-1,0,-99.6884,0,0
-1,0,-99.682,0,0
-1,0,-99.6757,0,0
-1,0,-99.6693,0,0
-1,0,-99.663,0,0
-1,0,-99.6566,0,0
-1,0,-99.6503,0,0
-1,0,-99.6439,0,0
-1,0,-99.6376,0,0
-1,0,-99.6313,0,0
-1,0,-99.6249,0,0
-1,0,-99.6186,0,0
-1,0,-99.6122,0,0
-1,0,-99.6059,0,0
-1,0,-99.5995,0,0
-1,0,-99.5932,0,0
-1,0,-99.5868,0,0
-1,0,-99.5805,0,0
-1,0,-99.5742,0,0
-1,0,-99.5678,0,0
-1,0,-99.5615,0,0
-1,0,-99.5551,0,0
-1,0,-99.5488,0,0
-1,0,-99.5425,0,0
-1,0,-99.5361,0,0
-1,0,-99.5298,0,0
-1,0,-99.5234,0,0
-1,0,-99.5171,0,0
-1,0,-99.5108,0,0
-1,0,-99.5044,0,0
-1,0,-99.4981,0,0
-1,0,-99.4917,0,0
-1,0,-99.4854,0,0
-1,0,-99.4791,0,0
-1,0,-99.4727,0,0
-1,0,-99.4664,0,0
-1,0,-99.4601,0,0
-1,0,-99.4537,0,0
-1,0,-99.4474,0,0
-1,0,-99.4411,0,0
-1,0,-99.4347,0,0
-1,0,-99.4284,0,0
-1,0,-99.4221,0,0
-1,0,-99.4157,0,0
-1,0,-99.4094,0,0
-1,0,-99.4031,0,0
-1,0,-99.3967,0,0
-1,0,-99.3904,0,0
-1,0,-99.3841,0,0
-1,0,-99.3777,0,0
-1,0,-99.3714,0,0
-1,0,-99.3651,0,0
-1,0,-99.3588,0,0
-1,0,-99.3524,0,0
-1,0,-99.3461,0,0
-1,0,-99.3398,0,0
-1,0,-99.3334,0,0
-1,0,-99.3271,0,0
-1,0,-99.3208,0,0
-1,0,-99.3145,0,0
-1,0,-99.3081,0,0
-1,0,-99.3018,0,0
-1,0,-99.2955,0,0
-1,0,-99.2892,0,0
-1,0,-99.2828,0,0
-1,0,-99.2765,0,0
-1,0,-99.2702,0,0
-1,0,-99.2639,0,0
-1,0,-99.2575,0,0
-1,0,-99.2512,0,0
-1,0,-99.2449,0,0
-1,0,-99.2386,0,0
-1,0,-99.2323,0,0
-1,0,-99.2259,0,0
-1,0,-99.2196,0,0
-1,0,-99.2133,0,0
-1,0,-99.207,0,0
-1,0,-99.2007,0,0
-1,0,-99.1943,0,0
-1,0,-99.188,0,0
-1,0,-99.1817,0,0
-1,0,-99.1754,0,0
-1,0,-99.1691,0,0
-1,0,-99.1628,0,0
-1,0,-99.1564,0,0
-1,0,-99.1501,0,0
-1,0,-99.1438,0,0
-1,0,-99.1375,0,0
-1,0,-99.1312,0,0
-1,0,-99.1249,0,0
-1,0,-99.1186,0,0
-1,0,-99.1122,0,0
-1,0,-99.1059,0,0
-1,0,-99.0996,0,0
-1,0,-99.0933,0,0
-1,0,-99.087,0,0
-1,0,-99.0807,0,0
-1,0,-99.0744,0,0
-1,0,-99.0681,0,0
-1,0,-99.0618,0,0
-1,0,-99.0554,0,0
-1,0,-99.0491,0,0
-1,0,-99.0428,0,0
-1,0,-99.0365,0,0
-1,0,-99.0302,0,0
-1,0,-99.0239,0,0
-1,0,-99.0176,0,0
-1,0,-99.0113,0,0
-1,0,-99.005,0,0
-1,0,-98.9987,0,0
-1,0,-98.9924,0,0
-1,0,-98.9861,0,0
-1,0,-98.9798,0,0
-1,0,-98.9735,0,0
-1,0,-98.9672,0,0
-1,0,-98.9609,0,0
-1,0,-98.9545,0,0
-1,0,-98.9482,0,0
-1,0,-98.9419,0,0
-1,0,-98.9356,0,0
-1,0,-98.9293,0,0
-1,0,-98.923,0,0
-1,0,-98.9167,0,0
-1,0,-98.9104,0,0
-1,0,-98.9041,0,0
-1,0,-98.8978,0,0
-1,0,-98.8915,0,0
-1,0,-98.8852,0,0
-1,0,-98.8789,0,0
-1,0,-98.8726,0,0
-1,0,-98.8663,0,0
-1,0,-98.8601,0,0
-1,0,-98.8538,0,0
-1,0,-98.8475,0,0
-1,0,-98.8412,0,0
-1,0,-98.8349,0,0
-1,0,-98.8286,0,0
-1,0,-98.8223,0,0
-1,0,-98.816,0,0
-1,0,-98.8097,0,0
-1,0,-98.8034,0,0
-1,0,-98.7971,0,0
-1,0,-98.7908,0,0
-1,0,-98.7845,0,0
-1,0,-98.7782,0,0
-1,0,-98.7719,0,0
-1,0,-98.7656,0,0
-1,0,-98.7594,0,0
-1,0,-98.7531,0,0
-1,0,-98.7468,0,0
-1,0,-98.7405,0,0
-1,0,-98.7342,0,0
-1,0,-98.7279,0,0
-1,0,-98.7216,0,0
-1,0,-98.7153,0,0
-1,0,-98.709,0,0
-1,0,-98.7028,0,0
-1,0,-98.6965,0,0
-1,0,-98.6902,0,0
-1,0,-98.6839,0,0
-1,0,-98.6776,0,0
-1,0,-98.6713,0,0
-1,0,-98.665,0,0
-1,0,-98.6588,0,0
-1,0,-98.6525,0,0
-1,0,-98.6462,0,0
-1,0,-98.6399,0,0
-1,0,-98.6336,0,0
-1,0,-98.6273,0,0
-1,0,-98.6211,0,0
-1,0,-98.6148,0,0
-1,0,-98.6085,0,0
-1,0,-98.6022,0,0
-1,0,-98.5959,0,0
-1,0,-98.5897,0,0
-1,0,-98.5834,0,0
-1,0,-98.5771,0,0
-1,0,-98.5708,0,0
-1,0,-98.5645,0,0
-1,0,-98.5583,0,0
-1,0,-98.552,0,0
-1,0,-98.5457,0,0
-1,0,-98.5394,0,0
-1,0,-98.5332,0,0
-1,0,-98.5269,0,0
-1,0,-98.5206,0,0
-1,0,-98.5143,0,0
-1,0,-98.5081,0,0
-1,0,-98.5018,0,0
-1,0,-98.4955,0,0
-1,0,-98.4892,0,0
-1,0,-98.483,0,0
-1,0,-98.4767,0,0
-1,0,-98.4704,0,0
-1,0,-98.4641,0,0
-1,0,-98.4579,0,0
-1,0,-98.4516,0,0
-1,0,-98.4453,0,0
-1,0,-98.4391,0,0
-1,0,-98.4328,0,0
-1,0,-98.4265,0,0
-1,0,-98.4203,0,0
-1,0,-98.414,0,0
-1,0,-98.4077,0,0
-1,0,-98.4014,0,0
-1,0,-98.3952,0,0
-1,0,-98.3889,0,0
-1,0,-98.3826,0,0
-1,0,-98.3764,0,0
-1,0,-98.3701,0,0
-1,0,-98.3639,0,0
-1,0,-98.3576,0,0
-1,0,-98.3513,0,0
-1,0,-98.3451,0,0
-1,0,-98.3388,0,0
-1,0,-98.3325,0,0
-1,0,-98.3263,0,0
-1,0,-98.32,0,0
-1,0,-98.3137,0,0
-1,0,-98.3075,0,0
-1,0,-98.3012,0,0
-1,0,-98.295,0,0
-1,0,-98.2887,0,0
-1,0,-98.2824,0,0
-1,0,-98.2762,0,0
-1,0,-98.2699,0,0
-1,0,-98.2637,0,0
-1,0,-98.2574,0,0
-1,0,-98.2511,0,0
-1,0,-98.2449,0,0
-1,0,-98.2386,0,0
-1,0,-98.2324,0,0
-1,0,-98.2261,0,0
-1,0,-98.2199,0,0
-1,0,-98.2136,0,0
-1,0,-98.2073,0,0
-1,0,-98.2011,0,0
-1,0,-98.1948,0,0
-1,0,-98.1886,0,0
-1,0,-98.1823,0,0
-1,0,-98.1761,0,0
-1,0,-98.1698,0,0
-1,0,-98.1636,0,0
-1,0,-98.1573,0,0
-1,0,-98.1511,0,0
-1,0,-98.1448,0,0
-1,0,-98.1386,0,0
-1,0,-98.1323,0,0
-1,0,-98.1261,0,0
-1,0,-98.1198,0,0
-1,0,-98.1136,0,0
-1,0,-98.1073,0,0
-1,0,-98.1011,0,0
-1,0,-98.0948,0,0
-1,0,-98.0886,0,0
-1,0,-98.0823,0,0
-1,0,-98.0761,0,0
-1,0,-98.0698,0,0
-1,0,-98.0636,0,0
-1,0,-98.0573,0,0
-1,0,-98.0511,0,0
-1,0,-98.0448,0,0
-1,0,-98.0386,0,0
-1,0,-98.0324,0,0
-1,0,-98.0261,0,0
-1,0,-98.0199,0,0
-1,0,-98.0136,0,0
-1,0,-98.0074,0,0
-1,0,-98.0011,0,0
-1,0,-97.9949,0,0
-1,0,-97.9887,0,0
-1,0,-97.9824,0,0
-1,0,-97.9762,0,0
-1,0,-97.9699,0,0
-1,0,-97.9637,0,0
-1,0,-97.9575,0,0
-1,0,-97.9512,0,0
-1,0,-97.945,0,0
-1,0,-97.9387,0,0
-1,0,-97.9325,0,0
-1,0,-97.9263,0,0
-1,0,-97.92,0,0
-1,0,-97.9138,0,0
-1,0,-97.9076,0,0
-1,0,-97.9013,0,0
-1,0,-97.8951,0,0
-1,0,-97.8888,0,0
-1,0,-97.8826,0,0
-1,0,-97.8764,0,0
-1,0,-97.8701,0,0
-1,0,-97.8639,0,0
-1,0,-97.8577,0,0
-1,0,-97.8514,0,0
-1,0,-97.8452,0,0
-1,0,-97.839,0,0
-1,0,-97.8327,0,0
-1,0,-97.8265,0,0
-1,0,-97.8203,0,0
-1,0,-97.8141,0,0
-1,0,-97.8078,0,0
-1,0,-97.8016,0,0
-1,0,-97.7954,0,0
-1,0,-97.7891,0,0
-1,0,-97.7829,0,0
-1,0,-97.7767,0,0
-1,0,-97.7705,0,0
-1,0,-97.7642,0,0
-1,0,-97.758,0,0
-1,0,-97.7518,0,0
-1,0,-97.7455,0,0
-1,0,-97.7393,0,0
-1,0,-97.7331,0,0
-1,0,-97.7269,0,0
-1,0,-97.7206,0,0
-1,0,-97.7144,0,0
-1,0,-97.7082,0,0
-1,0,-97.702,0,0
-1,0,-97.6958,0,0
-1,0,-97.6895,0,0
-1,0,-97.6833,0,0
-1,0,-97.6771,0,0
-1,0,-97.6709,0,0
-1,0,-97.6646,0,0
-1,0,-97.6584,0,0
-1,0,-97.6522,0,0
-1,0,-97.646,0,0
-1,0,-97.6398,0,0
-1,0,-97.6335,0,0
-1,0,-97.6273,0,0
-1,0,-97.6211,0,0
-1,0,-97.6149,0,0
-1,0,-97.6087,0,0
-1,0,-97.6025,0,0
-1,0,-97.5962,0,0
-1,0,-97.59,0,0
-1,0,-97.5838,0,0
-1,0,-97.5776,0,0
-1,0,-97.5714,0,0
-1,0,-97.5652,0,0
-1,0,-97.5589,0,0
-1,0,-97.5527,0,0
-1,0,-97.5465,0,0
-1,0,-97.5403,0,0
-1,0,-97.5341,0,0
-1,0,-97.5279,0,0
-1,0,-97.5217,0,0
-1,0,-97.5155,0,0
-1,0,-97.5093,0,0
-1,0,-97.503,0,0
-1,0,-97.4968,0,0
-1,0,-97.4906,0,0
-1,0,-97.4844,0,0
-1,0,-97.4782,0,0
-1,0,-97.472,0,0
-1,0,-97.4658,0,0
-1,0,-97.4596,0,0
-1,0,-97.4534,0,0
-1,0,-97.4472,0,0
-1,0,-97.441,0,0
-1,0,-97.4348,0,0
-1,0,-97.4285,0,0
-1,0,-97.4223,0,0
-1,0,-97.4161,0,0
-1,0,-97.4099,0,0
-1,0,-97.4037,0,0
-1,0,-97.3975,0,0
-1,0,-97.3913,0,0
-1,0,-97.3851,0,0
-1,0,-97.3789,0,0
-1,0,-97.3727,0,0
-1,0,-97.3665,0,0
-1,0,-97.3603,0,0
-1,0,-97.3541,0,0
-1,0,-97.3479,0,0
-1,0,-97.3417,0,0
-1,0,-97.3355,0,0
-1,0,-97.3293,0,0
-1,0,-97.3231,0,0
-1,0,-97.3169,0,0
-1,0,-97.3107,0,0
-1,0,-97.3045,0,0
-1,0,-97.2983,0,0
-1,0,-97.2921,0,0
-1,0,-97.2859,0,0
-1,0,-97.2797,0,0
-1,0,-97.2735,0,0
-1,0,-97.2673,0,0
-1,0,-97.2611,0,0
-1,0,-97.2549,0,0
-1,0,-97.2487,0,0
-1,0,-97.2426,0,0
-1,0,-97.2364,0,0
-1,0,-97.2302,0,0
-1,0,-97.224,0,0
-1,0,-97.2178,0,0
-1,0,-97.2116,0,0
-1,0,-97.2054,0,0
-1,0,-97.1992,0,0
-1,0,-97.193,0,0
-1,0,-97.1868,0,0
-1,0,-97.1806,0,0
-1,0,-97.1744,0,0
-1,0,-97.1683,0,0
-1,0,-97.1621,0,0
-1,0,-97.1559,0,0
-1,0,-97.1497,0,0
-1,0,-97.1435,0,0
-1,0,-97.1373,0,0
-1,0,-97.1311,0,0
-1,0,-97.1249,0,0
-1,0,-97.1188,0,0
-1,0,-97.1126,0,0
-1,0,-97.1064,0,0
-1,0,-97.1002,0,0
-1,0,-97.094,0,0
-1,0,-97.0878,0,0
-1,0,-97.0816,0,0
-1,0,-97.0755,0,0
-1,0,-97.0693,0,0
-1,0,-97.0631,0,0
-1,0,-97.0569,0,0
-1,0,-97.0507,0,0
-1,0,-97.0446,0,0
-1,0,-97.0384,0,0
-1,0,-97.0322,0,0
-1,0,-97.026,0,0
-1,0,-97.0198,0,0
-1,0,-97.0137,0,0
-1,0,-97.0075,0,0
-1,0,-97.0013,0,0
-1,0,-96.9951,0,0
-1,0,-96.9889,0,0
-1,0,-96.9828,0,0
-1,0,-96.9766,0,0
-1,0,-96.9704,0,0
-1,0,-96.9642,0,0
-1,0,-96.9581,0,0
-1,0,-96.9519,0,0
-1,0,-96.9457,0,0
-1,0,-96.9395,0,0
-1,0,-96.9334,0,0
-1,0,-96.9272,0,0
-1,0,-96.921,0,0
-1,0,-96.9148,0,0
-1,0,-96.9087,0,0
-1,0,-96.9025,0,0
-1,0,-96.8963,0,0
-1,0,-96.8901,0,0
-1,0,-96.884,0,0
-1,0,-96.8778,0,0
-1,0,-96.8716,0,0
-1,0,-96.8655,0,0
-1,0,-96.8593,0,0
-1,0,-96.8531,0,0
-1,0,-96.847,0,0
-1,0,-96.8408,0,0
-1,0,-96.8346,0,0
-1,0,-96.8285,0,0
-1,0,-96.8223,0,0
-1,0,-96.8161,0,0
-1,0,-96.81,0,0
-1,0,-96.8038,0,0
-1,0,-96.7976,0,0
-1,0,-96.7915,0,0
-1,0,-96.7853,0,0
-1,0,-96.7791,0,0
-1,0,-96.773,0,0
-1,0,-96.7668,0,0
-1,0,-96.7606,0,0
-1,0,-96.7545,0,0
-1,0,-96.7483,0,0
-1,0,-96.7421,0,0
-1,0,-96.736,0,0
-1,0,-96.7298,0,0
-1,0,-96.7237,0,0
-1,0,-96.7175,0,0
-1,0,-96.7113,0,0
-1,0,-96.7052,0,0
-1,0,-96.699,0,0
-1,0,-96.6929,0,0
-1,0,-96.6867,0,0
-1,0,-96.6805,0,0
-1,0,-96.6744,0,0
-1,0,-96.6682,0,0
-1,0,-96.6621,0,0
-1,0,-96.6559,0,0
-1,0,-96.6498,0,0
-1,0,-96.6436,0,0
-1,0,-96.6375,0,0
-1,0,-96.6313,0,0
-1,0,-96.6251,0,0
-1,0,-96.619,0,0
-1,0,-96.6128,0,0
-1,0,-96.6067,0,0
-1,0,-96.6005,0,0
-1,0,-96.5944,0,0
-1,0,-96.5882,0,0
-1,0,-96.5821,0,0
-1,0,-96.5759,0,0
-1,0,-96.5698,0,0
-1,0,-96.5636,0,0
-1,0,-96.5575,0,0
-1,0,-96.5513,0,0
-1,0,-96.5452,0,0
-1,0,-96.539,0,0
-1,0,-96.5329,0,0
-1,0,-96.5267,0,0
-1,0,-96.5206,0,0
-1,0,-96.5144,0,0
-1,0,-96.5083,0,0
-1,0,-96.5021,0,0
-1,0,-96.496,0,0
-1,0,-96.4898,0,0
-1,0,-96.4837,0,0
-1,0,-96.4775,0,0
-1,0,-96.4714,0,0
-1,0,-96.4653,0,0
-1,0,-96.4591,0,0
-1,0,-96.453,0,0
-1,0,-96.4468,0,0
-1,0,-96.4407,0,0
-1,0,-96.4345,0,0
-1,0,-96.4284,0,0
-1,0,-96.4223,0,0
-1,0,-96.4161,0,0
-1,0,-96.41,0,0
-1,0,-96.4038,0,0
-1,0,-96.3977,0,0
-1,0,-96.3916,0,0
-1,0,-96.3854,0,0
-1,0,-96.3793,0,0
-1,0,-96.3731,0,0
-1,0,-96.367,0,0
-1,0,-96.3609,0,0
-1,0,-96.3547,0,0
-1,0,-96.3486,0,0
-1,0,-96.3425,0,0
-1,0,-96.3363,0,0
-1,0,-96.3302,0,0
-1,0,-96.324,0,0
-1,0,-96.3179,0,0
-1,0,-96.3118,0,0
-1,0,-96.3056,0,0
-1,0,-96.2995,0,0
-1,0,-96.2934,0,0
-1,0,-96.2872,0,0
-1,0,-96.2811,0,0
-1,0,-96.275,0,0
-1,0,-96.2688,0,0
-1,0,-96.2627,0,0
-1,0,-96.2566,0,0
-1,0,-96.2504,0,0
-1,0,-96.2443,0,0
-1,0,-96.2382,0,0
-1,0,-96.2321,0,0
-1,0,-96.2259,0,0
-1,0,-96.2198,0,0
-1,0,-96.2137,0,0
-1,0,-96.2075,0,0
-1,0,-96.2014,0,0
-1,0,-96.1953,0,0
-1,0,-96.1892,0,0
-1,0,-96.183,0,0
-1,0,-96.1769,0,0
-1,0,-96.1708,0,0
-1,0,-96.1647,0,0
-1,0,-96.1585,0,0
-1,0,-96.1524,0,0
-1,0,-96.1463,0,0
-1,0,-96.1402,0,0
-1,0,-96.134,0,0
-1,0,-96.1279,0,0
-1,0,-96.1218,0,0
-1,0,-96.1157,0,0
-1,0,-96.1095,0,0
-1,0,-96.1034,0,0
-1,0,-96.0973,0,0
-1,0,-96.0912,0,0
-1,0,-96.0851,0,0
-1,0,-96.0789,0,0
-1,0,-96.0728,0,0
-1,0,-96.0667,0,0
-1,0,-96.0606,0,0
-1,0,-96.0545,0,0
-1,0,-96.0484,0,0
-1,0,-96.0422,0,0
-1,0,-96.0361,0,0
-1,0,-96.03,0,0
-1,0,-96.0239,0,0
-1,0,-96.0178,0,0
-1,0,-96.0117,0,0
-1,0,-96.0055,0,0
-1,0,-95.9994,0,0
-1,0,-95.9933,0,0
-1,0,-95.9872,0,0
-1,0,-95.9811,0,0
-1,0,-95.975,0,0
-1,0,-95.9689,0,0
-1,0,-95.9627,0,0
-1,0,-95.9566,0,0
-1,0,-95.9505,0,0
-1,0,-95.9444,0,0
-1,0,-95.9383,0,0
-1,0,-95.9322,0,0
-1,0,-95.9261,0,0
-1,0,-95.92,0,0
-1,0,-95.9139,0,0
-1,0,-95.9077,0,0
-1,0,-95.9016,0,0
-1,0,-95.8955,0,0
-1,0,-95.8894,0,0
-1,0,-95.8833,0,0
-1,0,-95.8772,0,0
-1,0,-95.8711,0,0
-1,0,-95.865,0,0
-1,0,-95.8589,0,0
-1,0,-95.8528,0,0
-1,0,-95.8467,0,0
-1,0,-95.8406,0,0
-1,0,-95.8345,0,0
-1,0,-95.8284,0,0
-1,0,-95.8223,0,0
-1,0,-95.8162,0,0
-1,0,-95.8101,0,0
-1,0,-95.804,0,0
-1,0,-95.7979,0,0
-1,0,-95.7917,0,0
-1,0,-95.7856,0,0
-1,0,-95.7795,0,0
-1,0,-95.7734,0,0
-1,0,-95.7673,0,0
-1,0,-95.7612,0,0
-1,0,-95.7551,0,0
-1,0,-95.749,0,0
-1,0,-95.743,0,0
-1,0,-95.7369,0,0
-1,0,-95.7308,0,0
-1,0,-95.7247,0,0
-1,0,-95.7186,0,0
-1,0,-95.7125,0,0
-1,0,-95.7064,0,0
-1,0,-95.7003,0,0
-1,0,-95.6942,0,0
-1,0,-95.6881,0,0
-1,0,-95.682,0,0
-1,0,-95.6759,0,0
-1,0,-95.6698,0,0
-1,0,-95.6637,0,0
-1,0,-95.6576,0,0
-1,0,-95.6515,0,0
-1,0,-95.6454,0,0
-1,0,-95.6393,0,0
-1,0,-95.6332,0,0
-1,0,-95.6272,0,0
-1,0,-95.6211,0,0
-1,0,-95.615,0,0
-1,0,-95.6089,0,0
-1,0,-95.6028,0,0
-1,0,-95.5967,0,0
-1,0,-95.5906,0,0
-1,0,-95.5845,0,0
-1,0,-95.5784,0,0
-1,0,-95.5724,0,0
-1,0,-95.5663,0,0
-1,0,-95.5602,0,0
-1,0,-95.5541,0,0
-1,0,-95.548,0,0
-1,0,-95.5419,0,0
-1,0,-95.5358,0,0
-1,0,-95.5297,0,0
-1,0,-95.5237,0,0
-1,0,-95.5176,0,0
-1,0,-95.5115,0,0
-1,0,-95.5054,0,0
-1,0,-95.4993,0,0
-1,0,-95.4932,0,0
-1,0,-95.4872,0,0
-1,0,-95.4811,0,0
-1,0,-95.475,0,0
-1,0,-95.4689,0,0
-1,0,-95.4628,0,0
-1,0,-95.4568,0,0
-1,0,-95.4507,0,0
-1,0,-95.4446,0,0
-1,0,-95.4385,0,0
-1,0,-95.4324,0,0
-1,0,-95.4264,0,0
-1,0,-95.4203,0,0
-1,0,-95.4142,0,0
-1,0,-95.4081,0,0
-1,0,-95.4021,0,0
-1,0,-95.396,0,0
-1,0,-95.3899,0,0
-1,0,-95.3838,0,0
-1,0,-95.3778,0,0
-1,0,-95.3717,0,0
-1,0,-95.3656,0,0
-1,0,-95.3595,0,0
-1,0,-95.3535,0,0
-1,0,-95.3474,0,0
